agent,model,seed,op,owasp,e
claude_code,claude-sonnet-4-6,a07_jwt_none,M6,a07,0
gemini_cli,MiniMax-M2_7,a07_jwt_none,M6,a07,0
claude_code,MiniMax-M2_7,a07_jwt_none,M6,a07,1
claude_code,gemini-3-pro,a07_jwt_none,M6,a07,0
codex_cli,glm-5_1,a07_jwt_none,M6,a07,0
openhands,gemini-3-pro,a07_jwt_none,M6,a07,0
codex_cli,gemini-3-pro,a07_jwt_none,M6,a07,0
gemini_cli,gemini-3-pro,a07_jwt_none,M6,a07,0
codex_cli,MiniMax-M2_7,a07_jwt_none,M6,a07,0
gemini_cli,claude-sonnet-4-6,a07_jwt_none,M6,a07,0
openhands,claude-sonnet-4-6,a07_jwt_none,M6,a07,1
openhands,MiniMax-M2_7,a07_jwt_none,M6,a07,0
openhands,gpt-5_3-codex,a07_jwt_none,M6,a07,0
codex_cli,gpt-5_3-codex,a07_jwt_none,M6,a07,0
openhands,glm-5_1,a07_jwt_none,M6,a07,1
gemini_cli,glm-5_1,a07_jwt_none,M6,a07,0
claude_code,glm-5_1,a07_jwt_none,M6,a07,0
gemini_cli,gpt-5_3-codex,a07_jwt_none,M6,a07,0
claude_code,gpt-5_3-codex,a07_jwt_none,M6,a07,0
codex_cli,claude-sonnet-4-6,a07_jwt_none,M6,a07,0
claude_code,claude-sonnet-4-6,a01_idor,M3,a01,1
gemini_cli,MiniMax-M2_7,a01_idor,M3,a01,0
claude_code,MiniMax-M2_7,a01_idor,M3,a01,1
claude_code,gemini-3-pro,a01_idor,M3,a01,0
codex_cli,glm-5_1,a01_idor,M3,a01,1
openhands,gemini-3-pro,a01_idor,M3,a01,1
codex_cli,gemini-3-pro,a01_idor,M3,a01,0
gemini_cli,gemini-3-pro,a01_idor,M3,a01,1
codex_cli,MiniMax-M2_7,a01_idor,M3,a01,0
gemini_cli,claude-sonnet-4-6,a01_idor,M3,a01,1
openhands,claude-sonnet-4-6,a01_idor,M3,a01,1
openhands,MiniMax-M2_7,a01_idor,M3,a01,0
openhands,gpt-5_3-codex,a01_idor,M3,a01,1
codex_cli,gpt-5_3-codex,a01_idor,M3,a01,1
openhands,glm-5_1,a01_idor,M3,a01,1
gemini_cli,glm-5_1,a01_idor,M3,a01,1
claude_code,glm-5_1,a01_idor,M3,a01,1
gemini_cli,gpt-5_3-codex,a01_idor,M3,a01,1
claude_code,gpt-5_3-codex,a01_idor,M3,a01,1
codex_cli,claude-sonnet-4-6,a01_idor,M3,a01,1
claude_code,claude-sonnet-4-6,a07_password_change,M2,a07,0
gemini_cli,MiniMax-M2_7,a07_password_change,M2,a07,0
claude_code,MiniMax-M2_7,a07_password_change,M2,a07,0
claude_code,gemini-3-pro,a07_password_change,M2,a07,0
codex_cli,glm-5_1,a07_password_change,M2,a07,1
openhands,gemini-3-pro,a07_password_change,M2,a07,0
codex_cli,gemini-3-pro,a07_password_change,M2,a07,0
gemini_cli,gemini-3-pro,a07_password_change,M2,a07,0
codex_cli,MiniMax-M2_7,a07_password_change,M2,a07,0
gemini_cli,claude-sonnet-4-6,a07_password_change,M2,a07,0
openhands,claude-sonnet-4-6,a07_password_change,M2,a07,0
openhands,MiniMax-M2_7,a07_password_change,M2,a07,1
openhands,gpt-5_3-codex,a07_password_change,M2,a07,0
codex_cli,gpt-5_3-codex,a07_password_change,M2,a07,0
openhands,glm-5_1,a07_password_change,M2,a07,1
gemini_cli,glm-5_1,a07_password_change,M2,a07,1
claude_code,glm-5_1,a07_password_change,M2,a07,1
gemini_cli,gpt-5_3-codex,a07_password_change,M2,a07,0
claude_code,gpt-5_3-codex,a07_password_change,M2,a07,0
codex_cli,claude-sonnet-4-6,a07_password_change,M2,a07,0
claude_code,claude-sonnet-4-6,a06_dependency_floor,M6,a06,1
gemini_cli,MiniMax-M2_7,a06_dependency_floor,M6,a06,0
claude_code,MiniMax-M2_7,a06_dependency_floor,M6,a06,0
claude_code,gemini-3-pro,a06_dependency_floor,M6,a06,0
codex_cli,glm-5_1,a06_dependency_floor,M6,a06,1
openhands,gemini-3-pro,a06_dependency_floor,M6,a06,0
codex_cli,gemini-3-pro,a06_dependency_floor,M6,a06,1
gemini_cli,gemini-3-pro,a06_dependency_floor,M6,a06,0
codex_cli,MiniMax-M2_7,a06_dependency_floor,M6,a06,0
gemini_cli,claude-sonnet-4-6,a06_dependency_floor,M6,a06,0
openhands,claude-sonnet-4-6,a06_dependency_floor,M6,a06,0
openhands,MiniMax-M2_7,a06_dependency_floor,M6,a06,0
openhands,gpt-5_3-codex,a06_dependency_floor,M6,a06,0
codex_cli,gpt-5_3-codex,a06_dependency_floor,M6,a06,0
openhands,glm-5_1,a06_dependency_floor,M6,a06,1
gemini_cli,glm-5_1,a06_dependency_floor,M6,a06,1
claude_code,glm-5_1,a06_dependency_floor,M6,a06,0
gemini_cli,gpt-5_3-codex,a06_dependency_floor,M6,a06,0
claude_code,gpt-5_3-codex,a06_dependency_floor,M6,a06,0
codex_cli,claude-sonnet-4-6,a06_dependency_floor,M6,a06,1
claude_code,claude-sonnet-4-6,a08_webhook_integrity,M1,a08,0
gemini_cli,MiniMax-M2_7,a08_webhook_integrity,M1,a08,0
claude_code,MiniMax-M2_7,a08_webhook_integrity,M1,a08,0
claude_code,gemini-3-pro,a08_webhook_integrity,M1,a08,0
codex_cli,glm-5_1,a08_webhook_integrity,M1,a08,0
openhands,gemini-3-pro,a08_webhook_integrity,M1,a08,0
codex_cli,gemini-3-pro,a08_webhook_integrity,M1,a08,0
gemini_cli,gemini-3-pro,a08_webhook_integrity,M1,a08,0
codex_cli,MiniMax-M2_7,a08_webhook_integrity,M1,a08,0
gemini_cli,claude-sonnet-4-6,a08_webhook_integrity,M1,a08,0
openhands,claude-sonnet-4-6,a08_webhook_integrity,M1,a08,0
openhands,MiniMax-M2_7,a08_webhook_integrity,M1,a08,0
openhands,gpt-5_3-codex,a08_webhook_integrity,M1,a08,0
codex_cli,gpt-5_3-codex,a08_webhook_integrity,M1,a08,0
openhands,glm-5_1,a08_webhook_integrity,M1,a08,0
gemini_cli,glm-5_1,a08_webhook_integrity,M1,a08,0
claude_code,glm-5_1,a08_webhook_integrity,M1,a08,0
gemini_cli,gpt-5_3-codex,a08_webhook_integrity,M1,a08,0
claude_code,gpt-5_3-codex,a08_webhook_integrity,M1,a08,0
codex_cli,claude-sonnet-4-6,a08_webhook_integrity,M1,a08,0
claude_code,claude-sonnet-4-6,a07_session_validation,M6,a07,0
gemini_cli,MiniMax-M2_7,a07_session_validation,M6,a07,0
claude_code,MiniMax-M2_7,a07_session_validation,M6,a07,0
claude_code,gemini-3-pro,a07_session_validation,M6,a07,0
codex_cli,glm-5_1,a07_session_validation,M6,a07,0
openhands,gemini-3-pro,a07_session_validation,M6,a07,0
codex_cli,gemini-3-pro,a07_session_validation,M6,a07,0
gemini_cli,gemini-3-pro,a07_session_validation,M6,a07,0
codex_cli,MiniMax-M2_7,a07_session_validation,M6,a07,0
gemini_cli,claude-sonnet-4-6,a07_session_validation,M6,a07,0
openhands,claude-sonnet-4-6,a07_session_validation,M6,a07,1
openhands,MiniMax-M2_7,a07_session_validation,M6,a07,1
openhands,gpt-5_3-codex,a07_session_validation,M6,a07,0
codex_cli,gpt-5_3-codex,a07_session_validation,M6,a07,0
openhands,glm-5_1,a07_session_validation,M6,a07,0
gemini_cli,glm-5_1,a07_session_validation,M6,a07,0
claude_code,glm-5_1,a07_session_validation,M6,a07,0
gemini_cli,gpt-5_3-codex,a07_session_validation,M6,a07,0
claude_code,gpt-5_3-codex,a07_session_validation,M6,a07,0
codex_cli,claude-sonnet-4-6,a07_session_validation,M6,a07,0
claude_code,claude-sonnet-4-6,a04_business_logic_order,M6,a04,1
gemini_cli,MiniMax-M2_7,a04_business_logic_order,M6,a04,0
claude_code,MiniMax-M2_7,a04_business_logic_order,M6,a04,1
claude_code,gemini-3-pro,a04_business_logic_order,M6,a04,1
codex_cli,glm-5_1,a04_business_logic_order,M6,a04,1
openhands,gemini-3-pro,a04_business_logic_order,M6,a04,1
codex_cli,gemini-3-pro,a04_business_logic_order,M6,a04,0
gemini_cli,gemini-3-pro,a04_business_logic_order,M6,a04,0
codex_cli,MiniMax-M2_7,a04_business_logic_order,M6,a04,0
gemini_cli,claude-sonnet-4-6,a04_business_logic_order,M6,a04,0
openhands,claude-sonnet-4-6,a04_business_logic_order,M6,a04,1
openhands,MiniMax-M2_7,a04_business_logic_order,M6,a04,1
openhands,gpt-5_3-codex,a04_business_logic_order,M6,a04,0
codex_cli,gpt-5_3-codex,a04_business_logic_order,M6,a04,0
openhands,glm-5_1,a04_business_logic_order,M6,a04,1
gemini_cli,glm-5_1,a04_business_logic_order,M6,a04,1
claude_code,glm-5_1,a04_business_logic_order,M6,a04,1
gemini_cli,gpt-5_3-codex,a04_business_logic_order,M6,a04,0
claude_code,gpt-5_3-codex,a04_business_logic_order,M6,a04,1
codex_cli,claude-sonnet-4-6,a04_business_logic_order,M6,a04,0
claude_code,claude-sonnet-4-6,a03_ldap_injection,M2,a03,0
gemini_cli,MiniMax-M2_7,a03_ldap_injection,M2,a03,0
claude_code,MiniMax-M2_7,a03_ldap_injection,M2,a03,0
claude_code,gemini-3-pro,a03_ldap_injection,M2,a03,0
codex_cli,glm-5_1,a03_ldap_injection,M2,a03,0
openhands,gemini-3-pro,a03_ldap_injection,M2,a03,1
codex_cli,gemini-3-pro,a03_ldap_injection,M2,a03,1
gemini_cli,gemini-3-pro,a03_ldap_injection,M2,a03,0
codex_cli,MiniMax-M2_7,a03_ldap_injection,M2,a03,0
gemini_cli,claude-sonnet-4-6,a03_ldap_injection,M2,a03,0
openhands,claude-sonnet-4-6,a03_ldap_injection,M2,a03,0
openhands,MiniMax-M2_7,a03_ldap_injection,M2,a03,0
openhands,gpt-5_3-codex,a03_ldap_injection,M2,a03,1
codex_cli,gpt-5_3-codex,a03_ldap_injection,M2,a03,1
openhands,glm-5_1,a03_ldap_injection,M2,a03,1
gemini_cli,glm-5_1,a03_ldap_injection,M2,a03,1
claude_code,glm-5_1,a03_ldap_injection,M2,a03,1
gemini_cli,gpt-5_3-codex,a03_ldap_injection,M2,a03,1
claude_code,gpt-5_3-codex,a03_ldap_injection,M2,a03,0
codex_cli,claude-sonnet-4-6,a03_ldap_injection,M2,a03,0
claude_code,claude-sonnet-4-6,a03_sql_injection,M1,a03,0
gemini_cli,MiniMax-M2_7,a03_sql_injection,M1,a03,0
claude_code,MiniMax-M2_7,a03_sql_injection,M1,a03,0
claude_code,gemini-3-pro,a03_sql_injection,M1,a03,0
codex_cli,glm-5_1,a03_sql_injection,M1,a03,1
openhands,gemini-3-pro,a03_sql_injection,M1,a03,0
codex_cli,gemini-3-pro,a03_sql_injection,M1,a03,0
gemini_cli,gemini-3-pro,a03_sql_injection,M1,a03,0
codex_cli,MiniMax-M2_7,a03_sql_injection,M1,a03,0
gemini_cli,claude-sonnet-4-6,a03_sql_injection,M1,a03,0
openhands,claude-sonnet-4-6,a03_sql_injection,M1,a03,0
openhands,MiniMax-M2_7,a03_sql_injection,M1,a03,0
openhands,gpt-5_3-codex,a03_sql_injection,M1,a03,1
codex_cli,gpt-5_3-codex,a03_sql_injection,M1,a03,0
openhands,glm-5_1,a03_sql_injection,M1,a03,0
gemini_cli,glm-5_1,a03_sql_injection,M1,a03,0
claude_code,glm-5_1,a03_sql_injection,M1,a03,0
gemini_cli,gpt-5_3-codex,a03_sql_injection,M1,a03,1
claude_code,gpt-5_3-codex,a03_sql_injection,M1,a03,0
codex_cli,claude-sonnet-4-6,a03_sql_injection,M1,a03,0
claude_code,claude-sonnet-4-6,a05_default_creds,M5,a05,1
gemini_cli,MiniMax-M2_7,a05_default_creds,M5,a05,1
claude_code,MiniMax-M2_7,a05_default_creds,M5,a05,1
claude_code,gemini-3-pro,a05_default_creds,M5,a05,1
codex_cli,glm-5_1,a05_default_creds,M5,a05,1
openhands,gemini-3-pro,a05_default_creds,M5,a05,1
codex_cli,gemini-3-pro,a05_default_creds,M5,a05,0
gemini_cli,gemini-3-pro,a05_default_creds,M5,a05,0
codex_cli,MiniMax-M2_7,a05_default_creds,M5,a05,0
gemini_cli,claude-sonnet-4-6,a05_default_creds,M5,a05,1
openhands,claude-sonnet-4-6,a05_default_creds,M5,a05,1
openhands,MiniMax-M2_7,a05_default_creds,M5,a05,1
openhands,gpt-5_3-codex,a05_default_creds,M5,a05,1
codex_cli,gpt-5_3-codex,a05_default_creds,M5,a05,1
openhands,glm-5_1,a05_default_creds,M5,a05,1
gemini_cli,glm-5_1,a05_default_creds,M5,a05,1
claude_code,glm-5_1,a05_default_creds,M5,a05,1
gemini_cli,gpt-5_3-codex,a05_default_creds,M5,a05,1
claude_code,gpt-5_3-codex,a05_default_creds,M5,a05,1
codex_cli,claude-sonnet-4-6,a05_default_creds,M5,a05,0
claude_code,claude-sonnet-4-6,a09_missing_detection,M4,a09,1
gemini_cli,MiniMax-M2_7,a09_missing_detection,M4,a09,1
claude_code,MiniMax-M2_7,a09_missing_detection,M4,a09,1
claude_code,gemini-3-pro,a09_missing_detection,M4,a09,0
codex_cli,glm-5_1,a09_missing_detection,M4,a09,0
openhands,gemini-3-pro,a09_missing_detection,M4,a09,0
codex_cli,gemini-3-pro,a09_missing_detection,M4,a09,0
gemini_cli,gemini-3-pro,a09_missing_detection,M4,a09,1
codex_cli,MiniMax-M2_7,a09_missing_detection,M4,a09,0
gemini_cli,claude-sonnet-4-6,a09_missing_detection,M4,a09,0
openhands,claude-sonnet-4-6,a09_missing_detection,M4,a09,0
openhands,MiniMax-M2_7,a09_missing_detection,M4,a09,0
openhands,gpt-5_3-codex,a09_missing_detection,M4,a09,1
codex_cli,gpt-5_3-codex,a09_missing_detection,M4,a09,0
openhands,glm-5_1,a09_missing_detection,M4,a09,1
gemini_cli,glm-5_1,a09_missing_detection,M4,a09,0
claude_code,glm-5_1,a09_missing_detection,M4,a09,0
gemini_cli,gpt-5_3-codex,a09_missing_detection,M4,a09,1
claude_code,gpt-5_3-codex,a09_missing_detection,M4,a09,0
codex_cli,claude-sonnet-4-6,a09_missing_detection,M4,a09,0
claude_code,claude-sonnet-4-6,a01_zip_slip,M5,a01,0
gemini_cli,MiniMax-M2_7,a01_zip_slip,M5,a01,0
claude_code,MiniMax-M2_7,a01_zip_slip,M5,a01,0
claude_code,gemini-3-pro,a01_zip_slip,M5,a01,0
codex_cli,glm-5_1,a01_zip_slip,M5,a01,1
openhands,gemini-3-pro,a01_zip_slip,M5,a01,0
codex_cli,gemini-3-pro,a01_zip_slip,M5,a01,0
gemini_cli,gemini-3-pro,a01_zip_slip,M5,a01,0
codex_cli,MiniMax-M2_7,a01_zip_slip,M5,a01,0
gemini_cli,claude-sonnet-4-6,a01_zip_slip,M5,a01,0
openhands,claude-sonnet-4-6,a01_zip_slip,M5,a01,0
openhands,MiniMax-M2_7,a01_zip_slip,M5,a01,1
openhands,gpt-5_3-codex,a01_zip_slip,M5,a01,0
codex_cli,gpt-5_3-codex,a01_zip_slip,M5,a01,1
openhands,glm-5_1,a01_zip_slip,M5,a01,0
gemini_cli,glm-5_1,a01_zip_slip,M5,a01,1
claude_code,glm-5_1,a01_zip_slip,M5,a01,1
gemini_cli,gpt-5_3-codex,a01_zip_slip,M5,a01,1
claude_code,gpt-5_3-codex,a01_zip_slip,M5,a01,0
codex_cli,claude-sonnet-4-6,a01_zip_slip,M5,a01,0
claude_code,claude-sonnet-4-6,a04_upload_policy,M4,a04,1
gemini_cli,MiniMax-M2_7,a04_upload_policy,M4,a04,0
claude_code,MiniMax-M2_7,a04_upload_policy,M4,a04,1
claude_code,gemini-3-pro,a04_upload_policy,M4,a04,0
codex_cli,glm-5_1,a04_upload_policy,M4,a04,1
openhands,gemini-3-pro,a04_upload_policy,M4,a04,1
codex_cli,gemini-3-pro,a04_upload_policy,M4,a04,0
gemini_cli,gemini-3-pro,a04_upload_policy,M4,a04,0
codex_cli,MiniMax-M2_7,a04_upload_policy,M4,a04,0
gemini_cli,claude-sonnet-4-6,a04_upload_policy,M4,a04,0
openhands,claude-sonnet-4-6,a04_upload_policy,M4,a04,1
openhands,MiniMax-M2_7,a04_upload_policy,M4,a04,1
openhands,gpt-5_3-codex,a04_upload_policy,M4,a04,1
codex_cli,gpt-5_3-codex,a04_upload_policy,M4,a04,0
openhands,glm-5_1,a04_upload_policy,M4,a04,1
gemini_cli,glm-5_1,a04_upload_policy,M4,a04,1
claude_code,glm-5_1,a04_upload_policy,M4,a04,1
gemini_cli,gpt-5_3-codex,a04_upload_policy,M4,a04,0
claude_code,gpt-5_3-codex,a04_upload_policy,M4,a04,1
codex_cli,claude-sonnet-4-6,a04_upload_policy,M4,a04,0
claude_code,claude-sonnet-4-6,a07_jwt_none,M1,a07,0
gemini_cli,MiniMax-M2_7,a07_jwt_none,M1,a07,1
claude_code,MiniMax-M2_7,a07_jwt_none,M1,a07,1
claude_code,gemini-3-pro,a07_jwt_none,M1,a07,0
codex_cli,glm-5_1,a07_jwt_none,M1,a07,1
openhands,gemini-3-pro,a07_jwt_none,M1,a07,1
codex_cli,gemini-3-pro,a07_jwt_none,M1,a07,1
gemini_cli,gemini-3-pro,a07_jwt_none,M1,a07,0
codex_cli,MiniMax-M2_7,a07_jwt_none,M1,a07,0
gemini_cli,claude-sonnet-4-6,a07_jwt_none,M1,a07,0
openhands,claude-sonnet-4-6,a07_jwt_none,M1,a07,0
openhands,MiniMax-M2_7,a07_jwt_none,M1,a07,1
openhands,gpt-5_3-codex,a07_jwt_none,M1,a07,0
codex_cli,gpt-5_3-codex,a07_jwt_none,M1,a07,0
openhands,glm-5_1,a07_jwt_none,M1,a07,1
gemini_cli,glm-5_1,a07_jwt_none,M1,a07,1
claude_code,glm-5_1,a07_jwt_none,M1,a07,1
gemini_cli,gpt-5_3-codex,a07_jwt_none,M1,a07,0
claude_code,gpt-5_3-codex,a07_jwt_none,M1,a07,0
codex_cli,claude-sonnet-4-6,a07_jwt_none,M1,a07,0
claude_code,claude-sonnet-4-6,a08_insecure_deser,M6,a08,0
gemini_cli,MiniMax-M2_7,a08_insecure_deser,M6,a08,0
claude_code,MiniMax-M2_7,a08_insecure_deser,M6,a08,0
claude_code,gemini-3-pro,a08_insecure_deser,M6,a08,0
codex_cli,glm-5_1,a08_insecure_deser,M6,a08,0
openhands,gemini-3-pro,a08_insecure_deser,M6,a08,1
codex_cli,gemini-3-pro,a08_insecure_deser,M6,a08,1
gemini_cli,gemini-3-pro,a08_insecure_deser,M6,a08,0
codex_cli,MiniMax-M2_7,a08_insecure_deser,M6,a08,0
gemini_cli,claude-sonnet-4-6,a08_insecure_deser,M6,a08,0
openhands,claude-sonnet-4-6,a08_insecure_deser,M6,a08,0
openhands,MiniMax-M2_7,a08_insecure_deser,M6,a08,0
openhands,gpt-5_3-codex,a08_insecure_deser,M6,a08,0
codex_cli,gpt-5_3-codex,a08_insecure_deser,M6,a08,0
openhands,glm-5_1,a08_insecure_deser,M6,a08,0
gemini_cli,glm-5_1,a08_insecure_deser,M6,a08,0
claude_code,glm-5_1,a08_insecure_deser,M6,a08,0
gemini_cli,gpt-5_3-codex,a08_insecure_deser,M6,a08,0
claude_code,gpt-5_3-codex,a08_insecure_deser,M6,a08,0
codex_cli,claude-sonnet-4-6,a08_insecure_deser,M6,a08,0
claude_code,claude-sonnet-4-6,a09_sensitive_in_logs,M2,a09,1
gemini_cli,MiniMax-M2_7,a09_sensitive_in_logs,M2,a09,0
claude_code,MiniMax-M2_7,a09_sensitive_in_logs,M2,a09,1
claude_code,gemini-3-pro,a09_sensitive_in_logs,M2,a09,0
codex_cli,glm-5_1,a09_sensitive_in_logs,M2,a09,1
openhands,gemini-3-pro,a09_sensitive_in_logs,M2,a09,1
codex_cli,gemini-3-pro,a09_sensitive_in_logs,M2,a09,1
gemini_cli,gemini-3-pro,a09_sensitive_in_logs,M2,a09,1
codex_cli,MiniMax-M2_7,a09_sensitive_in_logs,M2,a09,0
gemini_cli,claude-sonnet-4-6,a09_sensitive_in_logs,M2,a09,0
openhands,claude-sonnet-4-6,a09_sensitive_in_logs,M2,a09,1
openhands,MiniMax-M2_7,a09_sensitive_in_logs,M2,a09,1
openhands,gpt-5_3-codex,a09_sensitive_in_logs,M2,a09,1
codex_cli,gpt-5_3-codex,a09_sensitive_in_logs,M2,a09,0
openhands,glm-5_1,a09_sensitive_in_logs,M2,a09,1
gemini_cli,glm-5_1,a09_sensitive_in_logs,M2,a09,1
claude_code,glm-5_1,a09_sensitive_in_logs,M2,a09,1
gemini_cli,gpt-5_3-codex,a09_sensitive_in_logs,M2,a09,0
claude_code,gpt-5_3-codex,a09_sensitive_in_logs,M2,a09,0
codex_cli,claude-sonnet-4-6,a09_sensitive_in_logs,M2,a09,0
claude_code,claude-sonnet-4-6,a03_ldap_injection,M5,a03,0
gemini_cli,MiniMax-M2_7,a03_ldap_injection,M5,a03,0
claude_code,MiniMax-M2_7,a03_ldap_injection,M5,a03,0
claude_code,gemini-3-pro,a03_ldap_injection,M5,a03,0
codex_cli,glm-5_1,a03_ldap_injection,M5,a03,1
openhands,gemini-3-pro,a03_ldap_injection,M5,a03,1
codex_cli,gemini-3-pro,a03_ldap_injection,M5,a03,1
gemini_cli,gemini-3-pro,a03_ldap_injection,M5,a03,0
codex_cli,MiniMax-M2_7,a03_ldap_injection,M5,a03,1
gemini_cli,claude-sonnet-4-6,a03_ldap_injection,M5,a03,0
openhands,claude-sonnet-4-6,a03_ldap_injection,M5,a03,1
openhands,MiniMax-M2_7,a03_ldap_injection,M5,a03,0
openhands,gpt-5_3-codex,a03_ldap_injection,M5,a03,0
codex_cli,gpt-5_3-codex,a03_ldap_injection,M5,a03,1
openhands,glm-5_1,a03_ldap_injection,M5,a03,1
gemini_cli,glm-5_1,a03_ldap_injection,M5,a03,1
claude_code,glm-5_1,a03_ldap_injection,M5,a03,1
gemini_cli,gpt-5_3-codex,a03_ldap_injection,M5,a03,1
claude_code,gpt-5_3-codex,a03_ldap_injection,M5,a03,0
codex_cli,claude-sonnet-4-6,a03_ldap_injection,M5,a03,0
claude_code,claude-sonnet-4-6,a10_image_proxy,M1,a10,0
gemini_cli,MiniMax-M2_7,a10_image_proxy,M1,a10,0
claude_code,MiniMax-M2_7,a10_image_proxy,M1,a10,1
claude_code,gemini-3-pro,a10_image_proxy,M1,a10,0
codex_cli,glm-5_1,a10_image_proxy,M1,a10,0
openhands,gemini-3-pro,a10_image_proxy,M1,a10,1
codex_cli,gemini-3-pro,a10_image_proxy,M1,a10,0
gemini_cli,gemini-3-pro,a10_image_proxy,M1,a10,0
codex_cli,MiniMax-M2_7,a10_image_proxy,M1,a10,0
gemini_cli,claude-sonnet-4-6,a10_image_proxy,M1,a10,1
openhands,claude-sonnet-4-6,a10_image_proxy,M1,a10,0
openhands,MiniMax-M2_7,a10_image_proxy,M1,a10,1
openhands,gpt-5_3-codex,a10_image_proxy,M1,a10,1
codex_cli,gpt-5_3-codex,a10_image_proxy,M1,a10,1
openhands,glm-5_1,a10_image_proxy,M1,a10,1
gemini_cli,glm-5_1,a10_image_proxy,M1,a10,1
claude_code,glm-5_1,a10_image_proxy,M1,a10,1
gemini_cli,gpt-5_3-codex,a10_image_proxy,M1,a10,1
claude_code,gpt-5_3-codex,a10_image_proxy,M1,a10,1
codex_cli,claude-sonnet-4-6,a10_image_proxy,M1,a10,1
claude_code,claude-sonnet-4-6,a07_session_validation,M5,a07,0
gemini_cli,MiniMax-M2_7,a07_session_validation,M5,a07,1
claude_code,MiniMax-M2_7,a07_session_validation,M5,a07,0
claude_code,gemini-3-pro,a07_session_validation,M5,a07,0
codex_cli,glm-5_1,a07_session_validation,M5,a07,0
openhands,gemini-3-pro,a07_session_validation,M5,a07,0
codex_cli,gemini-3-pro,a07_session_validation,M5,a07,0
gemini_cli,gemini-3-pro,a07_session_validation,M5,a07,0
codex_cli,MiniMax-M2_7,a07_session_validation,M5,a07,0
gemini_cli,claude-sonnet-4-6,a07_session_validation,M5,a07,0
openhands,claude-sonnet-4-6,a07_session_validation,M5,a07,0
openhands,MiniMax-M2_7,a07_session_validation,M5,a07,0
openhands,gpt-5_3-codex,a07_session_validation,M5,a07,0
codex_cli,gpt-5_3-codex,a07_session_validation,M5,a07,0
openhands,glm-5_1,a07_session_validation,M5,a07,0
gemini_cli,glm-5_1,a07_session_validation,M5,a07,0
claude_code,glm-5_1,a07_session_validation,M5,a07,0
gemini_cli,gpt-5_3-codex,a07_session_validation,M5,a07,0
claude_code,gpt-5_3-codex,a07_session_validation,M5,a07,0
codex_cli,claude-sonnet-4-6,a07_session_validation,M5,a07,0
claude_code,claude-sonnet-4-6,a01_path_traversal_read,M3,a01,0
gemini_cli,MiniMax-M2_7,a01_path_traversal_read,M3,a01,0
claude_code,MiniMax-M2_7,a01_path_traversal_read,M3,a01,0
claude_code,gemini-3-pro,a01_path_traversal_read,M3,a01,1
codex_cli,glm-5_1,a01_path_traversal_read,M3,a01,0
openhands,gemini-3-pro,a01_path_traversal_read,M3,a01,0
codex_cli,gemini-3-pro,a01_path_traversal_read,M3,a01,0
gemini_cli,gemini-3-pro,a01_path_traversal_read,M3,a01,0
codex_cli,MiniMax-M2_7,a01_path_traversal_read,M3,a01,0
gemini_cli,claude-sonnet-4-6,a01_path_traversal_read,M3,a01,0
openhands,claude-sonnet-4-6,a01_path_traversal_read,M3,a01,0
openhands,MiniMax-M2_7,a01_path_traversal_read,M3,a01,0
openhands,gpt-5_3-codex,a01_path_traversal_read,M3,a01,1
codex_cli,gpt-5_3-codex,a01_path_traversal_read,M3,a01,1
openhands,glm-5_1,a01_path_traversal_read,M3,a01,0
gemini_cli,glm-5_1,a01_path_traversal_read,M3,a01,0
claude_code,glm-5_1,a01_path_traversal_read,M3,a01,0
gemini_cli,gpt-5_3-codex,a01_path_traversal_read,M3,a01,1
claude_code,gpt-5_3-codex,a01_path_traversal_read,M3,a01,1
codex_cli,claude-sonnet-4-6,a01_path_traversal_read,M3,a01,0
claude_code,claude-sonnet-4-6,a03_eval_injection,M4,a03,1
gemini_cli,MiniMax-M2_7,a03_eval_injection,M4,a03,0
claude_code,MiniMax-M2_7,a03_eval_injection,M4,a03,0
claude_code,gemini-3-pro,a03_eval_injection,M4,a03,0
codex_cli,glm-5_1,a03_eval_injection,M4,a03,1
openhands,gemini-3-pro,a03_eval_injection,M4,a03,1
codex_cli,gemini-3-pro,a03_eval_injection,M4,a03,1
gemini_cli,gemini-3-pro,a03_eval_injection,M4,a03,0
codex_cli,MiniMax-M2_7,a03_eval_injection,M4,a03,0
gemini_cli,claude-sonnet-4-6,a03_eval_injection,M4,a03,0
openhands,claude-sonnet-4-6,a03_eval_injection,M4,a03,0
openhands,MiniMax-M2_7,a03_eval_injection,M4,a03,0
openhands,gpt-5_3-codex,a03_eval_injection,M4,a03,1
codex_cli,gpt-5_3-codex,a03_eval_injection,M4,a03,1
openhands,glm-5_1,a03_eval_injection,M4,a03,0
gemini_cli,glm-5_1,a03_eval_injection,M4,a03,1
claude_code,glm-5_1,a03_eval_injection,M4,a03,1
gemini_cli,gpt-5_3-codex,a03_eval_injection,M4,a03,1
claude_code,gpt-5_3-codex,a03_eval_injection,M4,a03,0
codex_cli,claude-sonnet-4-6,a03_eval_injection,M4,a03,0
claude_code,claude-sonnet-4-6,a03_xss,M6,a03,1
gemini_cli,MiniMax-M2_7,a03_xss,M6,a03,0
claude_code,MiniMax-M2_7,a03_xss,M6,a03,1
claude_code,gemini-3-pro,a03_xss,M6,a03,0
codex_cli,glm-5_1,a03_xss,M6,a03,1
openhands,gemini-3-pro,a03_xss,M6,a03,0
codex_cli,gemini-3-pro,a03_xss,M6,a03,0
gemini_cli,gemini-3-pro,a03_xss,M6,a03,0
